Term,Category,Reasoning,NLD
Fasicular Optic Calcite,Sedimentary Facies,"The NLD defines the term as a specific 'morphology of carbonate cement' characterized by a distinct arrangement of crystals, which serves as a 'diagnostic component' for reservoirs, fitting the definition of a visual pattern of properties.","Calcita Óptica Fascicular é uma morfologia de cimento carbonático que se caracteriza por agregados de cristais aciculares a fibrosos arranjados em feixes radiais ou subparalelos. Constitui um precipitado primário e abiótico, formado sin-sedimentarmente em águas lacustres com elevada alcalinidade, típico do sistema deposicional Aptiano do Pré-Sal. É um componente diagnóstico e fundamental para a qualidade dos reservatórios microbiais e de coquinas, onde controla a criação e a oclusão da porosidade intercristalina."
Radial Calcite,Geological Structure,"The NLD defines the term as a 'morphology' characterized by the divergent growth of crystals, which fits the definition of a structure as the internal arrangement of a geological object.","Calcita radial é uma morfologia de cimento carbonático que se caracteriza por cristais aciculares a fibrosos que crescem de forma divergente a partir de um substrato ou núcleo. Trata-se de um produto diagenético precoce, comum em rochas carbonáticas lacustres do Pré-sal brasileiro, precipitado em ambiente subaquoso. Sua presença pode ocluir a porosidade primária, mas sua posterior dissolução é fundamental para a geração de porosidade secundária de alta qualidade nos reservatórios."
Dendrolite,Sedimentary Rock,"The NLD explicitly defines Dendrolite as a rock ('rocha') resulting from the calcification of microbial colonies, which is a sedimentary process.","Dendrolito é um microbialito que se caracteriza por uma macrofábrica dendrítica ou arbustiva, resultante da calcificação de colônias microbianas. No contexto do Pré-Sal brasileiro, esta rocha constitui uma das principais fácies reservatório das acumulações carbonáticas lacustres, frequentemente exibindo alta porosidade e permeabilidade."
Leiosphere,Sedimentary Geological Object,"The NLD defines a leiosphere as a 'carbonate grain,' which is a physical geological object constituted by sedimentary material formed through precipitation.","Uma leiosfera é um grão carbonático esferoidal a subesferoidal que se caracteriza pela ausência de um núcleo aloquímico discernível e por uma textura interna predominantemente grumosa ou peloidal. É um constituinte diagnóstico dos reservatórios lacustres do Pré-Sal brasileiro, formado por precipitação físico-química e/ou microbiana em águas de elevada alcalinidade. Sua ocorrência e morfologia são fundamentais para a definição de fácies com alta porosidade e permeabilidade."
Biofilm,Sedimentary Geological Object,"The NLD defines a biofilm as an 'organosedimentary structure' and the 'main building block' of microbialitic rocks, which are constituted by sediment (precipitated carbonates).","Biofilme é um agregado de microrganismos que, ao se fixar em um substrato, secreta uma matriz polimérica extracelular (EPS) que induz a precipitação de carbonatos. Esta estrutura organossedimentar é o principal elemento construtor das rochas microbialíticas que compõem os reservatórios do Pré-Sal. A sua arquitetura e decomposição subsequente controlam diretamente a geração e preservação da porosidade primária."
Microbial Mat,Sedimentary Geological Object,"The NLD describes it as a cohesive 'organo-sedimentary structure', which is a type of geological object constituted by sediment and organic material.","Uma Esteira Microbiana é uma estrutura organossedimentar laminar e coesiva, formada por uma comunidade de microrganismos, cujo metabolismo induz a precipitação de carbonatos em ambientes lacustres rasos e alcalinos. Sua litificação resulta na formação de microbialitos, como os estromatólitos, que constituem importantes rochas reservatório no Pré-Sal brasileiro. A matéria orgânica preservada associada a estas estruturas também contribui para o potencial gerador das rochas fonte do sistema petrolífero."
Calcimicrobialite,Sedimentary Rock,"The NLD explicitly defines the term as an 'organosedimentary carbonate rock' that originates from the precipitation of carbonates, fitting the definition of a rock constituted by sedimentary grains or particles.","Calcimicrobialito é uma rocha carbonática organossedimentar que se origina da precipitação de carbonatos induzida ou mediada pela atividade metabólica de comunidades microbianas. No contexto do Pré-Sal brasileiro, estes depósitos formaram-se predominantemente em sistemas lacustres alcalinos durante a fase sag do rifte. Suas complexas texturas deposicionais, como as estruturas arbustivas e esferulíticas, geram um sistema poroso único que constitui os principais reservatórios de hidrocarbonetos da Bacia de Santos."
Organo-Mineralite,Sedimentary Rock,"The definition explicitly states that the term refers to a 'rocha sedimentar carbonática' (carbonate sedimentary rock), which is a rock constituted by sedimentary particles.","Organo-Mineralito é uma rocha sedimentar carbonática que se caracteriza pela associação íntima entre matéria orgânica de origem microbiana e minerais carbonáticos autigênicos. Sua gênese está diretamente ligada à precipitação mineral induzida pela atividade metabólica em esteiras microbianas, tipicamente em ambientes lacustres de alta salinidade. Esta litofácies representa a principal rocha geradora de hidrocarbonetos do sistema petrolífero do Pré-Sal brasileiro."
Bioclast,Geological Object,"The NLD defines a bioclast as an 'individual fragment' of a skeleton or shell, which aligns with the definition of a Geological Object as a rigid entity that holds its own identity and unity criteria.","Um bioclasto é um fragmento individual de esqueleto, concha ou carapaça de um organismo que, após transporte e deposição, torna-se um constituinte de uma rocha sedimentar carbonática. No contexto do Pré-Sal brasileiro, são derivados principalmente de bivalves, gastrópodes, ostracodes e algas calcárias. Sua abundância, tipo e estado de preservação são fundamentais para a definição de fácies e para a caracterização da porosidade do reservatório."
Intraclast,Geological Object,"The NLD defines an intraclast as a carbonate clast, which is a discrete, rigid physical entity generated by the geological process of erosion.","Um intraclasto é um clasto carbonático que se origina da erosão penecontemporânea de sedimentos semi-consolidados, como lamas ou microbialitos, dentro da própria bacia deposicional lacustre. Geralmente formado por eventos de alta energia, como tempestades, este componente é redepositado e pode formar rochas com elevada porosidade interpartícula, constituindo importantes reservatórios no Pré-Sal."
Peloid,Geological Object,"The NLD defines a peloid as a 'grão' (grain), which is a discrete, rigid entity with its own identity and unity criteria, fitting the definition of a Geological Object.","Um peloide é um grão carbonático, tipicamente arredondado e de tamanho areia, que é constituído por carbonato microcristalino (micrita) e que se caracteriza pela ausência de uma estrutura interna diagnóstica. Sua origem nos carbonatos lacustres do Pré-Sal brasileiro é frequentemente atribuída a pellets fecais, grãos micritizados ou à desagregação de estruturas microbianas. Quando acumulados, estes grãos formam pelstones com elevado potencial para constituir rochas reservatório de alta porosidade."
Ooid,Sedimentary Geological Object,"The NLD defines an ooid as a 'grão sedimentar' (sedimentary grain), which is a type of geological object constituted by sedimentary material.","Um oóide é um grão sedimentar carbonático revestido, geralmente esferoidal e com diâmetro inferior a 2 mm, que é constituído por um núcleo e um córtex de lâminas concêntricas de carbonato. Sua gênese ocorre por precipitação química em ambientes aquáticos de alta energia, como as margens de lagos rasos e agitados característicos do Pré-Sal brasileiro. A acumulação destes grãos origina rochas oolíticas que frequentemente constituem reservatórios de hidrocarbonetos de excelente qualidade."
Pisolite,Sedimentary Rock,The NLD explicitly defines the term as a granular carbonate rock ('rocha carbonática granular') constituted by sedimentary grains called pisoids.,"Um pisolito é uma rocha carbonática granular que é constituída predominantemente por pisoides, grãos esféricos a subesféricos com diâmetro superior a 2 mm que exibem laminação concêntrica. No contexto do Pré-Sal brasileiro, esta fácies está comumente associada a sistemas lacustres alcalinos de alta energia da Formação Barra Velha. Frequentemente, forma reservatórios de excelente qualidade devido à sua alta porosidade interpartícula e intrapartícula."
Oncoid,Geological Object,"The NLD defines an oncoid as a discrete carbonate grain with a specific internal structure, which fits the definition of a rigid entity with its own identity and unity criteria generated by a geological process.","Oncoide é um grão carbonático revestido, com diâmetro superior a 2 mm, que é constituído por lâminas concêntricas e irregulares de origem microbiana formadas ao redor de um núcleo. Estes grãos são diagnósticos de ambientes lacustres rasos e de alta energia, sendo componentes fundamentais na construção das rochas reservatório do Pré-Sal brasileiro."
Breccia,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha carbonática clástica' (clastic carbonate rock), which is a rock constituted by a collection of sedimentary fragments.","Brecha é uma rocha carbonática clástica que é constituída por fragmentos angulares a subangulares, cimentados em uma matriz de granulação mais fina. No contexto do Pré-Sal brasileiro, seus clastos são predominantemente derivados do retrabalhamento de fácies carbonáticas lacustres coevas, como microbialitos e esferulitos. Esta fácies frequentemente constitui um importante reservatório de hidrocarbonetos devido à sua porosidade interclástica, muitas vezes realçada por dissolução."
Conglomerate,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock) constituted by clasts, a matrix, and/or cement.","Conglomerado é uma rocha sedimentar clástica que é constituída por clastos arredondados a subarredondados, com diâmetro superior a 2 mm, suportados por uma matriz de granulação mais fina e/ou cimento. No Pré-Sal brasileiro, estes depósitos são característicos da seção sin-rifte, ocorrendo como fácies proximais associadas a falhas de borda da bacia. Sua ocorrência pode formar reservatórios de hidrocarbonetos quando apresentam porosidade e permeabilidade favoráveis."
Sandstone,Sedimentary Rock,The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock) composed of consolidated sand-sized grains.,"Arenito é uma rocha sedimentar clástica que é composta predominantemente por grãos de tamanho areia, consolidados por um cimento. No sistema petrolífero do Pré-Sal brasileiro, ocorre tipicamente em fácies fluvio-lacustres da seção sin-rifte, podendo constituir reservatórios de hidrocarbonetos."
Siltstone,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock) composed of silt-sized particles, which is the definition of the category.","Siltito é uma rocha sedimentar siliciclástica que é composta predominantemente por partículas de tamanho silte, com diâmetro entre 4 e 62,5 micrômetros. No sistema petrolífero do Pré-Sal, os siltitos de ambiente lacustre podem constituir tanto rochas geradoras, quando ricos em matéria orgânica, quanto rochas selantes intraformacionais que compartimentalizam os reservatórios carbonáticos."
Claystone,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock) composed of clay-sized particles, which directly matches this category's definition.","Argilito é uma rocha sedimentar siliciclástica litificada e maciça, composta predominantemente por partículas de tamanho argila, que exibe pouca ou nenhuma fissilidade. No contexto do Pré-Sal brasileiro, os argilitos ocorrem frequentemente em sistemas deposicionais lacustres e podem constituir importantes rochas geradoras quando ricos em matéria orgânica. Adicionalmente, atuam como rochas selantes regionais ou como barreiras de fluxo verticais quando interacamadados com os reservatórios carbonáticos."
Marl,Sedimentary Rock,"The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock), which is a direct match for this category.","Marga é uma rocha sedimentar pelítica que é composta por uma mistura de argilominerais e carbonato de cálcio de granulação fina. Associada à seção lacustre da fase Sag, esta litologia possui baixa permeabilidade, atuando como um importante selante ou defletor de fluxo vertical que compartimenta os reservatórios."
Gneiss,Rock,"The NLD explicitly defines the term as a 'rocha' (rock), a solid consolidated Earth Material, which is the definition of the GeoCore category Rock.","Gnaisse é uma rocha metamórfica de alto grau que constitui o embasamento cristalino das bacias do Pré-Sal. Esta rocha é caracterizada por um bandamento composicional proeminente, resultado de intensa deformação e recristalização mineral. No sistema petrolífero, seu paleorrelevo pré-rifte controlou a distribuição dos depocentros onde se acumularam as sequências geradoras e reservatórios lacustres."
Granite,Rock,"The NLD explicitly defines Granite as a 'rocha' (rock), which is a solid consolidated Earth Material.","Granito é uma rocha ígnea intrusiva de composição félsica que constitui o embasamento econômico sobre o qual se depositaram as rochas geradoras e os reservatórios carbonáticos do Pré-Sal. Sua paleotopografia controlou a distribuição dos fácies deposicionais, e, quando intensamente fraturado e alterado, pode atuar secundariamente como um reservatório de hidrocarbonetos."
Basalt,Rock,"The NLD explicitly defines Basalt as a 'rocha ígnea vulcânica' (igneous volcanic rock), which directly aligns with the GeoCore definition of Rock as a solid, consolidated Earth Material.","Basalto é uma rocha ígnea vulcânica de composição máfica que, no contexto do pré-sal brasileiro, constitui o embasamento econômico sobre o qual se depositaram as rochas geradoras e reservatórios do sistema petrolífero. Sua origem está ligada ao intenso vulcanismo da Província Magmática do Paraná-Etendeka, ocorrido durante a fase sin-rifte da abertura do Atlântico Sul. Este evento magmático foi fundamental para estabelecer o alto fluxo térmico que promoveu a maturação da matéria orgânica nas rochas geradoras sobrejacentes."
Diabase,Rock,"The NLD explicitly defines the term as a 'rocha' (rock), which is a solid consolidated Earth Material.","Diabásio é uma rocha ígnea intrusiva máfica que, no contexto do Pré-Sal brasileiro, ocorre como diques e soleiras que compartimentalizam os reservatórios carbonáticos e influenciam localmente a maturação térmica das rochas geradoras."
Tuff,Rock,"The NLD explicitly defines Tuff as a 'rocha piroclástica' (pyroclastic rock), which is a solid, consolidated Earth Material, fitting the GeoCore definition of Rock.","Tufo é uma rocha piroclástica que resulta da consolidação de cinzas vulcânicas, ocorrendo de forma intercalada na sucessão carbonática do Pré-Sal. Frequentemente alterada para argilominerais durante a diagênese, esta rocha constitui um importante marco cronoestratigráfico para a correlação de alta resolução dos reservatórios. Sua presença pode impactar a qualidade do reservatório, atuando como uma barreira ao fluxo de fluidos."
Volcaniclastic Rock,Sedimentary Rock,The NLD explicitly defines the term as a clastic sedimentary rock ('rocha sedimentar clástica') constituted by clasts of volcanic origin.,"Rocha vulcanoclástica é uma rocha sedimentar clástica constituída predominantemente por clastos de origem vulcânica, gerados por erupção ou pela redeposição de material preexistente. No contexto do Pré-sal brasileiro, estes depósitos ocorrem frequentemente intercalados aos reservatórios carbonáticos e são cruciais para a datação radiométrica da sucessão sedimentar. Sua composição e alteração diagenética impactam diretamente a qualidade do reservatório, podendo formar tanto selantes verticais quanto barreiras de permeabilidade."
Pyroclastic Rock,Rock,"The NLD defines the term as a 'rocha vulcânica clástica' (volcanic clastic rock), which is a solid, consolidated Earth material.","Rocha Piroclástica é uma rocha vulcânica clástica que resulta da acumulação e litificação de fragmentos de material vulcânico, ou piroclastos, expelidos durante erupções explosivas. No contexto do Pré-Sal brasileiro, estes depósitos estão associados ao vulcanismo da fase rifte e podem constituir tanto rochas reservatório quanto rochas selantes no sistema petrolífero. Sua ocorrência é fundamental para a compreensão da arquitetura estratigráfica e da compartimentalização dos reservatórios carbonáticos."
Ignimbrite,Rock,"The NLD defines the term as a 'rocha vulcânica piroclástica' (pyroclastic volcanic rock), which is a direct instance of the GeoCore category Rock, a solid consolidated Earth Material.","Ignimbrito é uma rocha vulcânica piroclástica formada pela deposição e consolidação de fluxos gravitacionais de alta densidade e temperatura, conhecidos como fluxos piroclásticos. No contexto do Pré-Sal brasileiro, estes depósitos estão associados ao magmatismo sin-rifte e ocorrem intercalados aos reservatórios carbonáticos. Devido à sua baixa permeabilidade, frequentemente atuam como barreiras verticais ao fluxo de fluidos."
Hyaloclastite,Rock,"The NLD explicitly defines the term as a 'rocha vulcanoclástica' (volcanoclastic rock), which is a type of solid, consolidated Earth Material.","Hialoclastito é uma rocha vulcanoclástica que se origina da fragmentação por choque térmico de lava ou magma em contato com água, resultando em um acúmulo de clastos vítreos angulosos. No contexto do Pré-Sal brasileiro, estes depósitos estão associados ao vulcanismo da fase rifte inicial, formado pela interação da lava com as águas dos sistemas lacustres coevos. Sua ocorrência pode influenciar a geometria e o fluxo de calor das bacias sedimentares sobrejacentes."
Peperite,Rock,"The NLD explicitly defines the term as a 'rocha mista' (mixed rock), which is a type of solid consolidated Earth Material.","Peperito é uma rocha mista que resulta da interação e mistura in situ entre magma, tipicamente basáltico, e sedimentos lacustres inconsolidados e saturados em água, como os carbonatos do Pré-Sal. Sua textura característica é a de uma brecha com clastos de rocha ígnea dispersos em uma matriz sedimentar ou, inversamente, glóbulos de sedimento engolfados pela rocha ígnea. No contexto do Pré-Sal, sua ocorrência é um indicador de magmatismo sin-sedimentar e pode influenciar a qualidade do reservatório carbonático adjacente através de alterações diagenéticas termais."
Saddle Dolomite,Sedimentary Rock,"The NLD defines it as a type of diagenetic dolomite, a consolidated material composed of crystals that acts as cement, which aligns with the definition of a sedimentary rock.","Dolomita Sela é um tipo de dolomita diagenética que se precipita em temperaturas elevadas, geralmente a partir de fluidos hidrotermais ou durante a diagênese de soterramento profundo. Caracteriza-se por seus cristais euedrais a subeuedrais com faces curvas em formato de sela e extinção ondulante sob luz polarizada. Nos reservatórios do Pré-Sal, ocorre como um cimento tardio que frequentemente oclui a porosidade, impactando significativamente a qualidade do reservatório."
Planar Dolomite,Sedimentary Rock,"The NLD defines the term as a type of diagenetic dolomite rock, describing its crystal fabric and its influence on the porosity and permeability of the rock.","Dolomita Planar é um tipo de dolomita diagenética que é definida por uma fábrica de cristais euédricos a subédricos com faces retas e contatos intercristalinos planares. Sua formação nos reservatórios do Pré-Sal ocorre tanto por substituição de minerais precursores quanto por cimentação. A geometria e o tamanho desses cristais controlam diretamente a qualidade do reservatório, influenciando a porosidade e a permeabilidade da rocha."
Baroque Dolomite,Sedimentary Rock,"The NLD defines the term as a type of hydrothermal dolomite, which is a rock, and describes its occurrence as a diagenetic cement within sedimentary reservoirs.","Dolomita Barroca é uma dolomita hidrotermal que se caracteriza por macrocristais euedrais a subedrais com faces cristalinas curvas e extinção ondulante. Nos reservatórios do Pré-Sal, ocorre tipicamente como um cimento diagenético tardio que oclui porosidade e fraturas, impactando a qualidade do reservatório. Sua precipitação a partir de fluidos quentes e salinos serve como um importante indicador de atividade hidrotermal no sistema petrolífero."
Xenotopic Dolomite,Sedimentary Rock,"The NLD defines the term as a type of dolomite, which is a rock, characterized by its specific crystalline fabric composed of anhedral crystals.","Dolomita Xenotópica é uma dolomita que possui uma trama cristalina composta por um mosaico de cristais anédricos e intertravados. Esta textura é comumente resultante de processos de dolomitização pervasiva em rochas carbonáticas do Pré-Sal. Sua ocorrência impacta diretamente a qualidade do reservatório, controlando a conectividade do sistema poroso intercristalino."
Idiotopic Dolomite,Sedimentary Rock,"The NLD defines the term as a 'rocha dolomítica' (dolomitic rock) with a specific crystalline fabric, which is a type of rock constituted by a collection of sedimentary grains or particles.","Dolomita idiotópica é uma rocha dolomítica que se caracteriza por uma fábrica composta por um mosaico de cristais euédricos de dolomita. Esta textura é tipicamente formada por processos diagenéticos de substituição ou cimentação em reservatórios carbonáticos. Nos reservatórios do Pré-Sal, a sua ocorrência está frequentemente associada ao desenvolvimento de porosidade intercristalina, impactando diretamente a qualidade da rocha como reservatório."
Isopachous Cement,Earth Material,"The NLD defines it as a type of diagenetic cement, which is a natural amount of matter formed by the geological process of precipitation, fitting the definition of an Earth Material.","Cimento isópaco é um tipo de cimento diagenético que se caracteriza por recobrir os grãos de uma rocha com uma camada de espessura uniforme. Esta morfologia é indicativa de precipitação em ambiente freático marinho e exerce controle fundamental na qualidade dos reservatórios carbonáticos do Pré-Sal. Sua formação precoce pode tanto preservar a porosidade primária, ao criar um arcabouço resistente à compactação, quanto ocluí-la completamente."
Botryoidal Cement,Earth Material,"The NLD describes it as a type of carbonate cement, which is a natural, solid amount of matter that constitutes part of a rock, fitting the definition of Earth Material.","Cimento botrioidal é um tipo de cimento carbonático que exibe uma morfologia externa globular, semelhante a cachos de uva, formada pelo crescimento de cristais fibrosos e radiais a partir de um núcleo comum. Sua precipitação ocorre em estágios diagenéticos precoces, sendo um componente chave dos reservatórios microbiais do Pré-Sal brasileiro, onde sua composição primária é geralmente aragonítica ou de calcita com alto teor de magnésio. A presença deste cimento é fundamental para a estabilização do arcabouço rochoso, atuando como um fator crucial na preservação da porosidade interpartícula em fácies de alta qualidade de reservatório."
Syntaxial Overgrowth,Geological Process,"The NLD defines this as a type of diagenetic cement that 'forms by the precipitation of a mineral', which is a geological process that modifies a rock.","Sobrecrescimento sintaxial é um tipo de cimento diagenético que se forma pela precipitação de um mineral em continuidade óptica e cristalográfica sobre um grão ou cristal preexistente de mesma composição. Comum em reservatórios carbonáticos do Pré-Sal, este cimento oclui a porosidade intergranular original, reduzindo a permeabilidade da rocha."
Poikilotopic Cement,Geological Structure,The NLD defines a specific texture based on the internal arrangement and relationship between large cement crystals (oikocrystals) and enclosed grains (chadacrystals) within a rock.,"Cimento Poiquilotópico é um cimento diagenético no qual grandes cristais opticamente contínuos (oikocristais) englobam múltiplos componentes preexistentes menores e sem orientação preferencial (chadacristais). Nos reservatórios carbonáticos do Pré-Sal, este cimento, comumente de calcita ou dolomita, é um importante agente de oclusão da porosidade intergranular em rochas como coquinas e microbialitos. Sua presença e distribuição controlam significativamente a qualidade do reservatório ao reduzir o espaço poroso primário."
Blocky Cement,Earth Material,"The NLD describes it as a diagenetic cement composed of carbonate crystals that fills pore space, fitting the definition of a natural, solid amount of matter generated by a geological process.","Cimento Blocky é um cimento diagenético que se caracteriza por um mosaico de cristais carbonáticos equantes, de granulação grossa a muito grossa, que preenche o espaço poroso remanescente durante os estágios intermediários a tardios da diagênese. Nos reservatórios carbonáticos do Pré-Sal, é um dos principais agentes de oclusão de poros, controlando diretamente a qualidade da rocha reservatório."
Fibrous Cement,Rock,"The NLD describes it as a solid, consolidated carbonate material made of crystals that is a key component in forming rocks, fitting the GeoCore definition of Rock.","Cimento fibroso é um cimento carbonático constituído por cristais alongados e aciculares, geralmente de calcita, que crescem perpendicularmente a partir de um substrato, como grãos ou paredes de poros. Nos reservatórios do Pré-Sal, este cimento é tipicamente formado em ambiente marinho freático precoce, sendo um componente chave na litificação inicial das rochas. Sua presença é fundamental para a preservação da porosidade interpartícula primária, ao criar um arcabouço rígido que impede a compactação."
Micritic Cement,Earth Material,"The NLD defines it as a solid carbonate cement constituted by crystals precipitated in a rock, which fits the definition of Earth Material as a natural amount of solid matter generated by a geological process.","Cimento Micrítico é um cimento carbonático autigênico que é constituído por cristais com diâmetro inferior a 4 micrômetros, precipitado no espaço poroso de uma rocha durante a diagênese. Nos reservatórios do Pré-Sal, sua gênese é comumente associada à mediação microbiana em rochas como coquinas e microbialitos. Este cimento exerce um controle primário na qualidade do reservatório, podendo tanto ocluir a porosidade primária quanto preservá-la da compactação."
Calcitization,Geological Process,The NLD explicitly defines the term as a diagenetic process that modifies the composition of a rock by replacing a pre-existing mineral with calcite.,"Calcitização é um processo diagenético que consiste na substituição total ou parcial de um mineral preexistente por calcita. Nos reservatórios carbonáticos do Pré-Sal, é um fenômeno comum associado principalmente à substituição de dolomita, processo conhecido como dedolomitização. Este processo modifica as propriedades petrofísicas da rocha, podendo tanto criar porosidade por dissolução quanto destruir porosidade por cimentação, impactando diretamente a qualidade do reservatório."
Dedolomitization,Geological Process,The NLD explicitly defines the term as a 'diagenetic process' that modifies the composition of a rock by replacing the mineral dolomite with calcite.,"Dedolomitização é um processo diagenético que consiste na substituição do mineral dolomita por calcita secundária, sendo impulsionado pela percolação de fluidos ricos em cálcio. Nos reservatórios carbonáticos do Pré-Sal, este fenômeno é frequentemente deletério à qualidade da rocha, pois a calcita neoformada tende a ocluir a porosidade intercristalina gerada durante a dolomitização."
Silicification,Geological Process,The NLD explicitly defines the term as a 'diagenetic process' that modifies the composition of a geological object by precipitating silica or replacing minerals.,"A silicificação é um processo diagenético que consiste na precipitação de sílica ou na substituição de minerais preexistentes, principalmente carbonatos, por minerais de sílica como o quartzo. Nos reservatórios do Pré-Sal, a sílica é frequentemente derivada da alteração de argilominerais magnesianos, como a estevensita, presentes na seção lacustre. Este processo impacta significativamente a qualidade do reservatório, geralmente reduzindo a porosidade e a permeabilidade por oclusão de poros e da garganta de poros."
Pyritization,Geological Process,The NLD explicitly defines the term as a 'diagenetic process' that modifies the composition of pre-existing materials by replacing them with pyrite.,"Piritização é um processo diagenético que envolve a substituição de matéria orgânica ou minerais pré-existentes por pirita (FeS₂). Este processo ocorre em ambientes deposicionais e diagenéticos redutores, frequentemente mediado pela atividade de bactérias sulfato-redutoras. Nas bacias do Pré-Sal, sua ocorrência é um indicador chave de condições anóxicas que favoreceram a preservação da matéria orgânica nas rochas geradoras."
Authigenic Clay,Earth Material,"The NLD describes it as a clay mineral, which is a natural amount of solid matter, formed by a chemical precipitation process within a rock, fitting the definition of an Earth Material.","Argila autigênica é um mineral argiloso que se precipita quimicamente *in situ* a partir de fluidos intersticiais dentro de uma rocha após a sua deposição. No contexto dos reservatórios carbonáticos do Pré-Sal, sua formação durante a diagênese pode alterar significativamente a petrofísica da rocha, geralmente obstruindo o sistema poroso e reduzindo a permeabilidade."
Kaolinite,Earth Material,"The NLD defines Kaolinite as a clay mineral, which is a natural, solid amount of matter generated by a geological process (diagenetic alteration).","Caulinitia é um argilomineral autigênico que resulta da alteração diagenética de minerais aluminossilicáticos, como feldspatos, nos reservatórios do Pré-Sal. Sua precipitação no espaço poroso é um dos principais fatores de degradação da qualidade do reservatório, causando uma redução acentuada da permeabilidade."
Illite,Earth Material,"The NLD describes Illite as a clay mineral and cement, which is a natural amount of solid matter generated by a geological process (diagenesis), fitting the definition of Earth Material.","Ilita é um argilomineral filossilicato não expansivo que ocorre como um cimento autigênico comum nos reservatórios carbonáticos do Pré-Sal. Sua precipitação diagenética, frequentemente com morfologia fibrosa, é um dos principais fatores de controle da qualidade do reservatório, pois reduz significativamente a permeabilidade ao obstruir a garganta de poros. A presença e a idade da ilita são também importantes indicadores da evolução termal e diagenética da bacia."
Smectite,Earth Material,"The NLD defines Smectite as a group of clay minerals, which is a natural amount of solid matter that constitutes rocks, fitting the definition of Earth Material.","Esmectita é um grupo de argilominerais que possui uma estrutura cristalina 2:1 e alta capacidade de expansão em contato com fluidos. No contexto do Pré-Sal, sua presença é relevante tanto em rochas geradoras quanto como um potencial agente de dano à formação nos reservatórios carbonáticos. A sua conversão diagenética para ilita é um importante indicador da maturação térmica e afeta a expulsão de hidrocarbonetos."
Chlorite,Earth Material,"The NLD defines Chlorite as a clay mineral, which is a natural, solid amount of matter generated by a geological process (precipitation), fitting the definition of Earth Material.","Clorita é um mineral de argila do grupo dos filossilicatos que, nos reservatórios do Pré-Sal, ocorre como um precipitado autigênico rico em magnésio. Sua ocorrência como revestimentos em grãos carbonáticos é fundamental para a preservação da porosidade, pois inibe a nucleação e o crescimento de cimentos eodiagenéticos e mesodiagenéticos que ocluem os poros. Essa inibição cimentante é um dos principais controles na manutenção da qualidade de reservatórios de alta permeabilidade."
Mechanical Compaction,Geological Process,The NLD explicitly defines the term as a 'physical diagenetic process' that modifies a rock by reducing its volume and porosity.,"Compactação Mecânica é um processo diagenético físico que causa a redução do volume deposicional e da porosidade de uma rocha sob o efeito do aumento da tensão efetiva. Este processo ocorre por meio da reorganização e empacotamento mais denso das partículas, rotação de grãos e fraturamento de componentes frágeis. Nos reservatórios carbonáticos do Pré-Sal, é um mecanismo fundamental na alteração da fábrica de coquinas e microbialitos durante o soterramento."
Chemical Compaction,Geological Process,The NLD explicitly defines the term as a diagenetic process that modifies a rock by reducing its total volume through mineral dissolution and precipitation.,"Compactação química é um processo diagenético que reduz o volume total da rocha através da dissolução de minerais nos contatos entre grãos, induzida por pressão. O material dissolvido é subsequentemente precipitado como cimento em poros próximos, diminuindo a porosidade e a permeabilidade do reservatório. Este mecanismo é o principal responsável pela formação de estilólitos em rochas carbonáticas."
Pressure Solution,Geological Process,The NLD explicitly defines the term as a 'processo de compactação química' (process of chemical compaction) that modifies geological objects through dissolution and precipitation.,"Pressão-dissolução é um processo de compactação química que consiste na dissolução seletiva de minerais em contatos intergranulares sob o efeito da tensão litoestática. O material dissolvido é transportado pelos fluidos intersticiais e pode precipitar em zonas de menor pressão, como os poros, formando cimento e reduzindo a qualidade do reservatório. Nos carbonatos do Pré-Sal, este mecanismo é um dos principais responsáveis pela destruição da porosidade original e pela formação de feições como estilólitos e contatos suturados."
Stylolite,Geological Structure,"The NLD defines a stylolite as a 'diagenetic compaction structure', which corresponds to the definition of a Geological Structure as the internal arrangement of a Geological Object.","Estilólito é uma estrutura diagenética de compactação que se apresenta como uma superfície de descontinuidade serrilhada, formada por dissolução sob pressão e marcada pela concentração de resíduos insolúveis. Comum nos reservatórios carbonáticos do Pré-Sal, esta feição representa uma zona de perda de porosidade que pode atuar como uma importante barreira ao fluxo de fluidos. Sua orientação e preenchimento são críticos para a caracterização da heterogeneidade da permeabilidade do reservatório."
Dissolution Seam,Geological Boundary,"The NLD describes the term as a planar to irregular feature that represents a 'surface' of volume loss and acts as a barrier, which aligns with the definition of a Geological Boundary as a physical discontinuity.","Costura de Dissolução é uma feição diagenética planar a irregular que se forma por compactação química e é marcada pela concentração de resíduos insolúveis como argilominerais e matéria orgânica. Esta feição representa uma superfície de perda de volume na rocha. Nos reservatórios carbonáticos do Pré-Sal, frequentemente atua como uma barreira ou defletor de baixa permeabilidade, impactando a conectividade do sistema poroso."
