Term,NLD
Organo-Mineralite,"Organo-Mineralito é uma rocha sedimentar carbonática que se caracteriza pela associação íntima entre matéria orgânica de origem microbiana e minerais carbonáticos autigênicos. Sua gênese está diretamente ligada à precipitação mineral induzida pela atividade metabólica em esteiras microbianas, tipicamente em ambientes lacustres de alta salinidade. Esta litofácies representa a principal rocha geradora de hidrocarbonetos do sistema petrolífero do Pré-Sal brasileiro."
Bioclast,"Um bioclasto é um fragmento individual de esqueleto, concha ou carapaça de um organismo que, após transporte e deposição, torna-se um constituinte de uma rocha sedimentar carbonática. No contexto do Pré-Sal brasileiro, são derivados principalmente de bivalves, gastrópodes, ostracodes e algas calcárias. Sua abundância, tipo e estado de preservação são fundamentais para a definição de fácies e para a caracterização da porosidade do reservatório."
Intraclast,"Um intraclasto é um clasto carbonático que se origina da erosão penecontemporânea de sedimentos semi-consolidados, como lamas ou microbialitos, dentro da própria bacia deposicional lacustre. Geralmente formado por eventos de alta energia, como tempestades, este componente é redepositado e pode formar rochas com elevada porosidade interpartícula, constituindo importantes reservatórios no Pré-Sal."
Peloid,"Um peloide é um grão carbonático, tipicamente arredondado e de tamanho areia, que é constituído por carbonato microcristalino (micrita) e que se caracteriza pela ausência de uma estrutura interna diagnóstica. Sua origem nos carbonatos lacustres do Pré-Sal brasileiro é frequentemente atribuída a pellets fecais, grãos micritizados ou à desagregação de estruturas microbianas. Quando acumulados, estes grãos formam pelstones com elevado potencial para constituir rochas reservatório de alta porosidade."
Ooid,"Um oóide é um grão sedimentar carbonático revestido, geralmente esferoidal e com diâmetro inferior a 2 mm, que é constituído por um núcleo e um córtex de lâminas concêntricas de carbonato. Sua gênese ocorre por precipitação química em ambientes aquáticos de alta energia, como as margens de lagos rasos e agitados característicos do Pré-Sal brasileiro. A acumulação destes grãos origina rochas oolíticas que frequentemente constituem reservatórios de hidrocarbonetos de excelente qualidade."
Pisolite,"Um pisolito é uma rocha carbonática granular que é constituída predominantemente por pisoides, grãos esféricos a subesféricos com diâmetro superior a 2 mm que exibem laminação concêntrica. No contexto do Pré-Sal brasileiro, esta fácies está comumente associada a sistemas lacustres alcalinos de alta energia da Formação Barra Velha. Frequentemente, forma reservatórios de excelente qualidade devido à sua alta porosidade interpartícula e intrapartícula."
Oncoid,"Oncoide é um grão carbonático revestido, com diâmetro superior a 2 mm, que é constituído por lâminas concêntricas e irregulares de origem microbiana formadas ao redor de um núcleo. Estes grãos são diagnósticos de ambientes lacustres rasos e de alta energia, sendo componentes fundamentais na construção das rochas reservatório do Pré-Sal brasileiro."
Breccia,"Brecha é uma rocha carbonática clástica que é constituída por fragmentos angulares a subangulares, cimentados em uma matriz de granulação mais fina. No contexto do Pré-Sal brasileiro, seus clastos são predominantemente derivados do retrabalhamento de fácies carbonáticas lacustres coevas, como microbialitos e esferulitos. Esta fácies frequentemente constitui um importante reservatório de hidrocarbonetos devido à sua porosidade interclástica, muitas vezes realçada por dissolução."
Conglomerate,"Conglomerado é uma rocha sedimentar clástica que é constituída por clastos arredondados a subarredondados, com diâmetro superior a 2 mm, suportados por uma matriz de granulação mais fina e/ou cimento. No Pré-Sal brasileiro, estes depósitos são característicos da seção sin-rifte, ocorrendo como fácies proximais associadas a falhas de borda da bacia. Sua ocorrência pode formar reservatórios de hidrocarbonetos quando apresentam porosidade e permeabilidade favoráveis."
Sandstone,"Arenito é uma rocha sedimentar clástica que é composta predominantemente por grãos de tamanho areia, consolidados por um cimento. No sistema petrolífero do Pré-Sal brasileiro, ocorre tipicamente em fácies fluvio-lacustres da seção sin-rifte, podendo constituir reservatórios de hidrocarbonetos."
Siltstone,"Siltito é uma rocha sedimentar siliciclástica que é composta predominantemente por partículas de tamanho silte, com diâmetro entre 4 e 62,5 micrômetros. No sistema petrolífero do Pré-Sal, os siltitos de ambiente lacustre podem constituir tanto rochas geradoras, quando ricos em matéria orgânica, quanto rochas selantes intraformacionais que compartimentalizam os reservatórios carbonáticos."
Claystone,"Argilito é uma rocha sedimentar siliciclástica litificada e maciça, composta predominantemente por partículas de tamanho argila, que exibe pouca ou nenhuma fissilidade. No contexto do Pré-Sal brasileiro, os argilitos ocorrem frequentemente em sistemas deposicionais lacustres e podem constituir importantes rochas geradoras quando ricos em matéria orgânica. Adicionalmente, atuam como rochas selantes regionais ou como barreiras de fluxo verticais quando interacamadados com os reservatórios carbonáticos."
Marl,"Marga é uma rocha sedimentar pelítica que é composta por uma mistura de argilominerais e carbonato de cálcio de granulação fina. Associada à seção lacustre da fase Sag, esta litologia possui baixa permeabilidade, atuando como um importante selante ou defletor de fluxo vertical que compartimenta os reservatórios."
Gneiss,"Gnaisse é uma rocha metamórfica de alto grau que constitui o embasamento cristalino das bacias do Pré-Sal. Esta rocha é caracterizada por um bandamento composicional proeminente, resultado de intensa deformação e recristalização mineral. No sistema petrolífero, seu paleorrelevo pré-rifte controlou a distribuição dos depocentros onde se acumularam as sequências geradoras e reservatórios lacustres."
Granite,"Granito é uma rocha ígnea intrusiva de composição félsica que constitui o embasamento econômico sobre o qual se depositaram as rochas geradoras e os reservatórios carbonáticos do Pré-Sal. Sua paleotopografia controlou a distribuição dos fácies deposicionais, e, quando intensamente fraturado e alterado, pode atuar secundariamente como um reservatório de hidrocarbonetos."
Basalt,"Basalto é uma rocha ígnea vulcânica de composição máfica que, no contexto do pré-sal brasileiro, constitui o embasamento econômico sobre o qual se depositaram as rochas geradoras e reservatórios do sistema petrolífero. Sua origem está ligada ao intenso vulcanismo da Província Magmática do Paraná-Etendeka, ocorrido durante a fase sin-rifte da abertura do Atlântico Sul. Este evento magmático foi fundamental para estabelecer o alto fluxo térmico que promoveu a maturação da matéria orgânica nas rochas geradoras sobrejacentes."
Diabase,"Diabásio é uma rocha ígnea intrusiva máfica que, no contexto do Pré-Sal brasileiro, ocorre como diques e soleiras que compartimentalizam os reservatórios carbonáticos e influenciam localmente a maturação térmica das rochas geradoras."
Tuff,"Tufo é uma rocha piroclástica que resulta da consolidação de cinzas vulcânicas, ocorrendo de forma intercalada na sucessão carbonática do Pré-Sal. Frequentemente alterada para argilominerais durante a diagênese, esta rocha constitui um importante marco cronoestratigráfico para a correlação de alta resolução dos reservatórios. Sua presença pode impactar a qualidade do reservatório, atuando como uma barreira ao fluxo de fluidos."
Volcaniclastic Rock,"Rocha vulcanoclástica é uma rocha sedimentar clástica constituída predominantemente por clastos de origem vulcânica, gerados por erupção ou pela redeposição de material preexistente. No contexto do Pré-sal brasileiro, estes depósitos ocorrem frequentemente intercalados aos reservatórios carbonáticos e são cruciais para a datação radiométrica da sucessão sedimentar. Sua composição e alteração diagenética impactam diretamente a qualidade do reservatório, podendo formar tanto selantes verticais quanto barreiras de permeabilidade."
Pyroclastic Rock,"Rocha Piroclástica é uma rocha vulcânica clástica que resulta da acumulação e litificação de fragmentos de material vulcânico, ou piroclastos, expelidos durante erupções explosivas. No contexto do Pré-Sal brasileiro, estes depósitos estão associados ao vulcanismo da fase rifte e podem constituir tanto rochas reservatório quanto rochas selantes no sistema petrolífero. Sua ocorrência é fundamental para a compreensão da arquitetura estratigráfica e da compartimentalização dos reservatórios carbonáticos."
Ignimbrite,"Ignimbrito é uma rocha vulcânica piroclástica formada pela deposição e consolidação de fluxos gravitacionais de alta densidade e temperatura, conhecidos como fluxos piroclásticos. No contexto do Pré-Sal brasileiro, estes depósitos estão associados ao magmatismo sin-rifte e ocorrem intercalados aos reservatórios carbonáticos. Devido à sua baixa permeabilidade, frequentemente atuam como barreiras verticais ao fluxo de fluidos."
Hyaloclastite,"Hialoclastito é uma rocha vulcanoclástica que se origina da fragmentação por choque térmico de lava ou magma em contato com água, resultando em um acúmulo de clastos vítreos angulosos. No contexto do Pré-Sal brasileiro, estes depósitos estão associados ao vulcanismo da fase rifte inicial, formado pela interação da lava com as águas dos sistemas lacustres coevos. Sua ocorrência pode influenciar a geometria e o fluxo de calor das bacias sedimentares sobrejacentes."
Peperite,"Peperito é uma rocha mista que resulta da interação e mistura in situ entre magma, tipicamente basáltico, e sedimentos lacustres inconsolidados e saturados em água, como os carbonatos do Pré-Sal. Sua textura característica é a de uma brecha com clastos de rocha ígnea dispersos em uma matriz sedimentar ou, inversamente, glóbulos de sedimento engolfados pela rocha ígnea. No contexto do Pré-Sal, sua ocorrência é um indicador de magmatismo sin-sedimentar e pode influenciar a qualidade do reservatório carbonático adjacente através de alterações diagenéticas termais."
Saddle Dolomite,"Dolomita Sela é um tipo de dolomita diagenética que se precipita em temperaturas elevadas, geralmente a partir de fluidos hidrotermais ou durante a diagênese de soterramento profundo. Caracteriza-se por seus cristais euedrais a subeuedrais com faces curvas em formato de sela e extinção ondulante sob luz polarizada. Nos reservatórios do Pré-Sal, ocorre como um cimento tardio que frequentemente oclui a porosidade, impactando significativamente a qualidade do reservatório."
Planar Dolomite,"Dolomita Planar é um tipo de dolomita diagenética que é definida por uma fábrica de cristais euédricos a subédricos com faces retas e contatos intercristalinos planares. Sua formação nos reservatórios do Pré-Sal ocorre tanto por substituição de minerais precursores quanto por cimentação. A geometria e o tamanho desses cristais controlam diretamente a qualidade do reservatório, influenciando a porosidade e a permeabilidade da rocha."
Baroque Dolomite,"Dolomita Barroca é uma dolomita hidrotermal que se caracteriza por macrocristais euedrais a subedrais com faces cristalinas curvas e extinção ondulante. Nos reservatórios do Pré-Sal, ocorre tipicamente como um cimento diagenético tardio que oclui porosidade e fraturas, impactando a qualidade do reservatório. Sua precipitação a partir de fluidos quentes e salinos serve como um importante indicador de atividade hidrotermal no sistema petrolífero."
Xenotopic Dolomite,"Dolomita Xenotópica é uma dolomita que possui uma trama cristalina composta por um mosaico de cristais anédricos e intertravados. Esta textura é comumente resultante de processos de dolomitização pervasiva em rochas carbonáticas do Pré-Sal. Sua ocorrência impacta diretamente a qualidade do reservatório, controlando a conectividade do sistema poroso intercristalino."
Idiotopic Dolomite,"Dolomita idiotópica é uma rocha dolomítica que se caracteriza por uma fábrica composta por um mosaico de cristais euédricos de dolomita. Esta textura é tipicamente formada por processos diagenéticos de substituição ou cimentação em reservatórios carbonáticos. Nos reservatórios do Pré-Sal, a sua ocorrência está frequentemente associada ao desenvolvimento de porosidade intercristalina, impactando diretamente a qualidade da rocha como reservatório."
Isopachous Cement,"Cimento isópaco é um tipo de cimento diagenético que se caracteriza por recobrir os grãos de uma rocha com uma camada de espessura uniforme. Esta morfologia é indicativa de precipitação em ambiente freático marinho e exerce controle fundamental na qualidade dos reservatórios carbonáticos do Pré-Sal. Sua formação precoce pode tanto preservar a porosidade primária, ao criar um arcabouço resistente à compactação, quanto ocluí-la completamente."
Botryoidal Cement,"Cimento botrioidal é um tipo de cimento carbonático que exibe uma morfologia externa globular, semelhante a cachos de uva, formada pelo crescimento de cristais fibrosos e radiais a partir de um núcleo comum. Sua precipitação ocorre em estágios diagenéticos precoces, sendo um componente chave dos reservatórios microbiais do Pré-Sal brasileiro, onde sua composição primária é geralmente aragonítica ou de calcita com alto teor de magnésio. A presença deste cimento é fundamental para a estabilização do arcabouço rochoso, atuando como um fator crucial na preservação da porosidade interpartícula em fácies de alta qualidade de reservatório."
Syntaxial Overgrowth,"Sobrecrescimento sintaxial é um tipo de cimento diagenético que se forma pela precipitação de um mineral em continuidade óptica e cristalográfica sobre um grão ou cristal preexistente de mesma composição. Comum em reservatórios carbonáticos do Pré-Sal, este cimento oclui a porosidade intergranular original, reduzindo a permeabilidade da rocha."
Poikilotopic Cement,"Cimento Poiquilotópico é um cimento diagenético no qual grandes cristais opticamente contínuos (oikocristais) englobam múltiplos componentes preexistentes menores e sem orientação preferencial (chadacristais). Nos reservatórios carbonáticos do Pré-Sal, este cimento, comumente de calcita ou dolomita, é um importante agente de oclusão da porosidade intergranular em rochas como coquinas e microbialitos. Sua presença e distribuição controlam significativamente a qualidade do reservatório ao reduzir o espaço poroso primário."
Blocky Cement,"Cimento Blocky é um cimento diagenético que se caracteriza por um mosaico de cristais carbonáticos equantes, de granulação grossa a muito grossa, que preenche o espaço poroso remanescente durante os estágios intermediários a tardios da diagênese. Nos reservatórios carbonáticos do Pré-Sal, é um dos principais agentes de oclusão de poros, controlando diretamente a qualidade da rocha reservatório."
Fibrous Cement,"Cimento fibroso é um cimento carbonático constituído por cristais alongados e aciculares, geralmente de calcita, que crescem perpendicularmente a partir de um substrato, como grãos ou paredes de poros. Nos reservatórios do Pré-Sal, este cimento é tipicamente formado em ambiente marinho freático precoce, sendo um componente chave na litificação inicial das rochas. Sua presença é fundamental para a preservação da porosidade interpartícula primária, ao criar um arcabouço rígido que impede a compactação."
Micritic Cement,"Cimento Micrítico é um cimento carbonático autigênico que é constituído por cristais com diâmetro inferior a 4 micrômetros, precipitado no espaço poroso de uma rocha durante a diagênese. Nos reservatórios do Pré-Sal, sua gênese é comumente associada à mediação microbiana em rochas como coquinas e microbialitos. Este cimento exerce um controle primário na qualidade do reservatório, podendo tanto ocluir a porosidade primária quanto preservá-la da compactação."
Calcitization,"Calcitização é um processo diagenético que consiste na substituição total ou parcial de um mineral preexistente por calcita. Nos reservatórios carbonáticos do Pré-Sal, é um fenômeno comum associado principalmente à substituição de dolomita, processo conhecido como dedolomitização. Este processo modifica as propriedades petrofísicas da rocha, podendo tanto criar porosidade por dissolução quanto destruir porosidade por cimentação, impactando diretamente a qualidade do reservatório."
Dedolomitization,"Dedolomitização é um processo diagenético que consiste na substituição do mineral dolomita por calcita secundária, sendo impulsionado pela percolação de fluidos ricos em cálcio. Nos reservatórios carbonáticos do Pré-Sal, este fenômeno é frequentemente deletério à qualidade da rocha, pois a calcita neoformada tende a ocluir a porosidade intercristalina gerada durante a dolomitização."
Silicification,"A silicificação é um processo diagenético que consiste na precipitação de sílica ou na substituição de minerais preexistentes, principalmente carbonatos, por minerais de sílica como o quartzo. Nos reservatórios do Pré-Sal, a sílica é frequentemente derivada da alteração de argilominerais magnesianos, como a estevensita, presentes na seção lacustre. Este processo impacta significativamente a qualidade do reservatório, geralmente reduzindo a porosidade e a permeabilidade por oclusão de poros e da garganta de poros."
Pyritization,"Piritização é um processo diagenético que envolve a substituição de matéria orgânica ou minerais pré-existentes por pirita (FeS₂). Este processo ocorre em ambientes deposicionais e diagenéticos redutores, frequentemente mediado pela atividade de bactérias sulfato-redutoras. Nas bacias do Pré-Sal, sua ocorrência é um indicador chave de condições anóxicas que favoreceram a preservação da matéria orgânica nas rochas geradoras."
Authigenic Clay,"Argila autigênica é um mineral argiloso que se precipita quimicamente *in situ* a partir de fluidos intersticiais dentro de uma rocha após a sua deposição. No contexto dos reservatórios carbonáticos do Pré-Sal, sua formação durante a diagênese pode alterar significativamente a petrofísica da rocha, geralmente obstruindo o sistema poroso e reduzindo a permeabilidade."
Kaolinite,"Caulinitia é um argilomineral autigênico que resulta da alteração diagenética de minerais aluminossilicáticos, como feldspatos, nos reservatórios do Pré-Sal. Sua precipitação no espaço poroso é um dos principais fatores de degradação da qualidade do reservatório, causando uma redução acentuada da permeabilidade."
Illite,"Ilita é um argilomineral filossilicato não expansivo que ocorre como um cimento autigênico comum nos reservatórios carbonáticos do Pré-Sal. Sua precipitação diagenética, frequentemente com morfologia fibrosa, é um dos principais fatores de controle da qualidade do reservatório, pois reduz significativamente a permeabilidade ao obstruir a garganta de poros. A presença e a idade da ilita são também importantes indicadores da evolução termal e diagenética da bacia."
Smectite,"Esmectita é um grupo de argilominerais que possui uma estrutura cristalina 2:1 e alta capacidade de expansão em contato com fluidos. No contexto do Pré-Sal, sua presença é relevante tanto em rochas geradoras quanto como um potencial agente de dano à formação nos reservatórios carbonáticos. A sua conversão diagenética para ilita é um importante indicador da maturação térmica e afeta a expulsão de hidrocarbonetos."
Chlorite,"Clorita é um mineral de argila do grupo dos filossilicatos que, nos reservatórios do Pré-Sal, ocorre como um precipitado autigênico rico em magnésio. Sua ocorrência como revestimentos em grãos carbonáticos é fundamental para a preservação da porosidade, pois inibe a nucleação e o crescimento de cimentos eodiagenéticos e mesodiagenéticos que ocluem os poros. Essa inibição cimentante é um dos principais controles na manutenção da qualidade de reservatórios de alta permeabilidade."
Mechanical Compaction,"Compactação Mecânica é um processo diagenético físico que causa a redução do volume deposicional e da porosidade de uma rocha sob o efeito do aumento da tensão efetiva. Este processo ocorre por meio da reorganização e empacotamento mais denso das partículas, rotação de grãos e fraturamento de componentes frágeis. Nos reservatórios carbonáticos do Pré-Sal, é um mecanismo fundamental na alteração da fábrica de coquinas e microbialitos durante o soterramento."
Chemical Compaction,"Compactação química é um processo diagenético que reduz o volume total da rocha através da dissolução de minerais nos contatos entre grãos, induzida por pressão. O material dissolvido é subsequentemente precipitado como cimento em poros próximos, diminuindo a porosidade e a permeabilidade do reservatório. Este mecanismo é o principal responsável pela formação de estilólitos em rochas carbonáticas."
Pressure Solution,"Pressão-dissolução é um processo de compactação química que consiste na dissolução seletiva de minerais em contatos intergranulares sob o efeito da tensão litoestática. O material dissolvido é transportado pelos fluidos intersticiais e pode precipitar em zonas de menor pressão, como os poros, formando cimento e reduzindo a qualidade do reservatório. Nos carbonatos do Pré-Sal, este mecanismo é um dos principais responsáveis pela destruição da porosidade original e pela formação de feições como estilólitos e contatos suturados."
Stylolite,"Estilólito é uma estrutura diagenética de compactação que se apresenta como uma superfície de descontinuidade serrilhada, formada por dissolução sob pressão e marcada pela concentração de resíduos insolúveis. Comum nos reservatórios carbonáticos do Pré-Sal, esta feição representa uma zona de perda de porosidade que pode atuar como uma importante barreira ao fluxo de fluidos. Sua orientação e preenchimento são críticos para a caracterização da heterogeneidade da permeabilidade do reservatório."
Dissolution Seam,"Costura de Dissolução é uma feição diagenética planar a irregular que se forma por compactação química e é marcada pela concentração de resíduos insolúveis como argilominerais e matéria orgânica. Esta feição representa uma superfície de perda de volume na rocha. Nos reservatórios carbonáticos do Pré-Sal, frequentemente atua como uma barreira ou defletor de baixa permeabilidade, impactando a conectividade do sistema poroso."
Microfracture,"Microfratura é uma descontinuidade planar de origem tectônica ou diagenética que, em escala microscópica, funciona como um conduto para o fluxo de fluidos ao conectar poros isolados e controlar a permeabilidade efetiva de reservatórios carbonáticos."
Macrofracture,"Macrofatura é uma descontinuidade planar de origem natural em uma rocha, que é identificável a olho nu em testemunhos ou afloramentos. Nos reservatórios carbonáticos do Pré-Sal, estas feições constituem um elemento crucial da permeabilidade secundária. Elas atuam como condutos preferenciais que conectam o sistema poroso da rocha e controlam o fluxo de fluidos em escala de reservatório."
Joint,"Junta é uma fratura de tração que se forma em resposta a um esforço tensional, caracterizada pela ausência de deslocamento cisalhante significativo ao longo de seu plano. Nos reservatórios carbonáticos do Pré-Sal, estas estruturas podem formar redes que controlam a permeabilidade secundária e a conectividade do sistema poroso. A sua caracterização é fundamental para a modelagem de fluxo e o planejamento geomecânico dos poços."
Karst,"Carste é um sistema geomorfológico que se desenvolve em rochas solúveis através de sua dissolução por águas meteóricas, tipicamente durante a exposição subaérea de plataformas carbonáticas. Este processo cria uma porosidade secundária de alta conectividade, como vugos, condutos e cavernas, que constitui as zonas de melhor qualidade de reservatório no Pré-Sal."
Paleokarst,"Paleocarste é uma feição geológica fóssil e soterrada que resulta da dissolução de rochas carbonáticas por águas meteóricas durante um período de exposição subaérea. Este processo cria uma rede complexa de poros, condutos e cavernas que aumenta drasticamente a porosidade e a permeabilidade da rocha reservatório. No contexto do Pré-Sal brasileiro, o paleocarste é um dos principais controles na qualidade dos reservatórios, formando zonas de altíssima produtividade."
Vadose Zone,"Zona Vadosa é uma zona diagenética que corresponde à porção insaturada de rochas carbonáticas situada acima do nível freático durante um período de exposição subaérea. Neste ambiente, a interação com águas meteóricas resulta em dissolução e cimentação que modificam intensamente a porosidade e a permeabilidade. A sua ocorrência representa um controle fundamental na heterogeneidade e na qualidade dos reservatórios do Pré-Sal."
Phreatic Zone,"Zona Freática é uma zona diagenética de exposição subaérea, localizada abaixo do nível freático, que se caracteriza pela saturação completa do sistema poroso por água. Neste ambiente, a precipitação de cimentos de calcita equigranular ou a dissolução de minerais instáveis são processos que impactam diretamente a qualidade dos reservatórios carbonáticos do Pré-Sal."
Meteoric Diagenesis,"Diagênese meteórica é o conjunto de processos físico-químicos que altera sedimentos e rochas carbonáticas devido à interação com águas de origem atmosférica, tipicamente em um ambiente de exposição subaérea. Os principais processos envolvidos são a dissolução de minerais carbonáticos instáveis e a precipitação de cimento de calcita de baixo magnésio, promovendo a estabilização mineralógica. No contexto do Pré-Sal, a dissolução meteórica é fundamental para a geração de porosidade secundária (vugular e móldica), sendo um dos principais controles na qualidade dos reservatórios."
Burial Diagenesis,"Diagenese de Soterramento é o conjunto de processos diagenéticos que modifica as rochas sedimentares sob condições de aumento progressivo de temperatura e pressão devido ao soterramento contínuo. Esses processos incluem compactação mecânica e química, cimentação, dissolução por pressão e transformações minerais. No contexto dos reservatórios carbonáticos do Pré-Sal, esta diagênese exerce um controle fundamental sobre a evolução da porosidade e permeabilidade, definindo a qualidade final da rocha reservatório."
Hydrothermal Diagenesis,"Diagênese Hidrotermal é um conjunto de processos diagenéticos que resulta da interação de rochas com fluidos aquecidos e quimicamente reativos em condições de soterramento. No contexto do Pré-Sal brasileiro, este processo é comumente associado a eventos magmáticos e à circulação de fluidos por zonas de falhas, exercendo um controle fundamental na qualidade dos reservatórios carbonáticos através da dissolução e precipitação de minerais."
Intercrystalline Porosity,"Porosidade Intercristalina é um tipo de porosidade matricial que corresponde aos espaços vazios localizados entre os cristais constituintes de uma rocha carbonática. Esta porosidade é comumente gerada ou modificada por processos diagenéticos, como a dolomitização ou recristalização. Nos reservatórios do Pré-Sal, ela é fundamental para a conectividade dos poros e, consequentemente, para a permeabilidade da rocha."
Intracrystalline Porosity,"Porosidade intracristalina é um tipo de porosidade secundária que se desenvolve no interior de cristais individuais. Sua origem está associada a processos diagenéticos, como a dissolução seletiva ao longo de planos de clivagem ou a substituição mineral incompleta. Em reservatórios carbonáticos do Pré-Sal, esta porosidade é frequentemente observada em romboedros de dolomita, contribuindo para o volume total de armazenamento do sistema."
Fenestral Porosity,"Porosidade Fenestral é um tipo de porosidade primária que se caracteriza por aberturas irregulares, maiores que os poros da trama sedimentar, formadas principalmente pelo aprisionamento de gás ou por dessecação. Nos reservatórios do Pré-Sal, esta porosidade é uma feição diagnóstica de microbialitos lacustres, onde sua gênese está associada à produção de gases pela atividade microbiana. A sua elevada conectividade contribui de forma crucial para a permeabilidade do reservatório, definindo zonas de alto fluxo."
Shelter Porosity,"Porosidade abrigo é um tipo de porosidade deposicional que resulta do efeito de proteção exercido por componentes carbonáticos maiores, como conchas ou fragmentos de rocha, que impedem o preenchimento do espaço sob eles por sedimentos mais finos. Este tipo de poro é comumente encontrado em coquinas e rochas rudáceas do Pré-Sal brasileiro, associado a bioclastos de bivalves e intraclastos de microbialitos. A geometria desses poros é tipicamente triangular ou irregular, e eles podem contribuir significativamente para a permeabilidade da rocha reservatório."
Growth-Framework Porosity,"Porosidade de estrutura de crescimento é um tipo de porosidade primária que representa os espaços inter-esqueletais originais, criados simultaneamente à construção da armação deposicional da rocha. Nos reservatórios carbonáticos do Pré-Sal, esta porosidade é fundamental, ocorrendo entre os componentes de microbialitos, esferulitos e coquinas antes de sua modificação diagenética."
Channel Porosity,"Porosidade em canal é um tipo de porosidade secundária que se constitui como uma rede de condutos e cavidades alongadas e interconectadas em rochas carbonáticas. Esta porosidade é formada pela dissolução preferencial da rocha por fluidos diagenéticos corrosivos, resultando em zonas de altíssima permeabilidade que são cruciais para a produtividade dos reservatórios do Pré-Sal."
Pore Throat,"Garganta de poro é a porção mais restrita do sistema poroso que estabelece a conexão entre dois poros. Sua dimensão e topologia representam o controle primário sobre a permeabilidade e o comportamento do fluxo multifásico, sendo um parâmetro crítico na caracterização de reservatórios carbonáticos heterogêneos do Pré-Sal."
Pore Body,"Um corpo de poro é a porção de maior volume do espaço poroso de uma rocha reservatório que funciona como o principal sítio de armazenamento de hidrocarbonetos, sendo interconectado a outros por meio de gargantas de poro."
Connectivity,"Conectividade é uma propriedade do reservatório que descreve o grau de interligação física e hidráulica entre seus corpos porosos e permeáveis. Nos reservatórios carbonáticos do Pré-Sal, ela governa a comunicação de fluxo entre as diferentes fácies, como microbialitos e coquinas. Uma alta conectividade é, portanto, um fator crítico que controla a drenagem eficiente e a produtividade dos poços."
Tortuosity,"Tortuosidade é um parâmetro petrofísico que representa a razão entre o comprimento real do percurso de um fluido e a distância linear através de uma rocha reservatório. Valores mais altos indicam uma rede de poros mais complexa e sinuosa, o que resulta em uma redução da permeabilidade efetiva da rocha. Este parâmetro é fundamental para a avaliação de reservatórios carbonáticos do Pré-Sal, onde a heterogeneidade dos sistemas porosos em rochas como coquinas e microbialitos impacta diretamente a capacidade de fluxo."
Fluvial System,"Um Sistema Fluvial é um sistema deposicional continental que, no contexto do Pré-Sal, corresponde à rede de rios e canais responsável pelo transporte e deposição de sedimentos clásticos durante a fase sin-rifte. Seus depósitos formam corpos de arenitos e conglomerados que podem constituir reservatórios de hidrocarbonetos. Este sistema também foi crucial para o carreamento de nutrientes aos sistemas lacustres adjacentes, influenciando diretamente a produtividade orgânica das rochas geradoras."
Alluvial Fan,"Um leque aluvial é um depósito sedimentar clástico que possui uma geometria cônica ou em leque, formado pela súbita perda de competência de um fluxo fluvial ao emergir de uma área confinada para uma bacia de deposição. No contexto do Pré-Sal brasileiro, estes depósitos são característicos da fase sin-rifte, desenvolvendo-se nas bordas das bacias em associação direta com escarpas de falha. Seus litotipos são predominantemente conglomerados e arenitos com baixo grau de seleção, podendo constituir importantes reservatórios de hidrocarbonetos."
Delta,"Um delta é um sistema deposicional siliciclástico que, ao progradar para o ambiente lacustre do Pré-Sal, atua como a principal fonte de nutrientes e matéria orgânica para o sistema petrolífero. Sua influência é fundamental para o desenvolvimento tanto das rochas geradoras quanto dos reservatórios carbonáticos microbiais. A interação entre os lobos deltaicos e a fábrica de carbonatos controla a heterogeneidade e a qualidade final do reservatório."
Fan Delta,"Um delta leque é um sistema deposicional clástico de alta energia que se forma pela progradação de um leque aluvial diretamente para dentro de um corpo de água lacustre, tipicamente associado às margens tectônicas de uma bacia rifte. É caracterizado por depósitos de granulometria predominantemente grossa, como conglomerados e arenitos, que exibem uma geometria em cunha que se espessa em direção à falha de borda. No contexto do Pré-Sal brasileiro, suas fácies arenosas mais distais e bem selecionadas podem constituir importantes reservatórios de hidrocarbonetos."
Shoreface,"Shoreface é um ambiente deposicional de margem de lago que é dominado pela ação de ondas e caracterizado pela deposição de sedimentos carbonáticos retrabalhados. No contexto do Pré-Sal, este ambiente é responsável pela formação de extensos bancos de coquinas e grainstones. Tais depósitos constituem os principais reservatórios de hidrocarbonetos devido à sua alta porosidade e permeabilidade primárias."
Beach,"Uma praia é um sistema deposicional carbonático desenvolvido em zonas de alta energia nas margens de um sistema lacustre, caracterizado pela acumulação e retrabalhamento por ondas de grãos como oólitos e bioclastos. Estes depósitos tipicamente formam rochas do tipo grainstone com elevada porosidade intergranular primária. No contexto do Pré-Sal, estas fácies representam reservatórios de petróleo de excelente qualidade."
Lagoon,"Lagoa é um ambiente deposicional lacustrino de baixa energia que é protegido por barreiras carbonáticas, como bancos de coquina ou microbialitos. Neste ambiente, depositam-se sedimentos finos e laminados, ricos em matéria orgânica. Estas fácies constituem as principais rochas geradoras do sistema petrolífero do Pré-Sal."
Tidal Flat,"Planície de Maré é um ambiente deposicional, predominantemente carbonático e de baixa energia, que se desenvolve nas margens de bacias restritas e é caracterizado pela submersão e exposição subaérea periódicas devido a flutuações do nível da água. Este ambiente é propício à formação de esteiras microbianas, fácies de lama e evaporitos, além de depósitos retrabalhados como coquinas em suas porções mais proximais. No contexto do Pré-Sal, suas fácies podem constituir tanto rochas reservatório de alta qualidade quanto rochas selantes, controlando significativamente a heterogeneidade do reservatório."
